name,lat,long,vllocationid,cragSlug
massone,45.9287,10.9028,2551.0,massone
nago,45.87063,10.89315,2550.0,nago
la gola,46.05848,10.96672,2564.0,la-gola
belvedere,45.88088,10.88611,2543.0,belvedere
padaro,45.93296,10.87031,2539.0,padaro
bassilandia,46.05377,10.95904,2563.0,bassilandia
val d'algone,46.07969,10.81169,2582.0,val-d-algone
foppiano,46.23546,8.28944,,foppiano
comano,46.03502,10.89316,2587.0,comano
calvario,45.92383,10.88587,2534.0,calvario
val lomasone,45.97183,10.85939,2586.0,val-lomasone
san siro,46.02546,10.97299,2575.0,san-siro
terra promessa,45.94045,10.91483,2544.0,terra-promessa
regina del lago,45.86431,10.81242,2549.0,regina-del-lago
sisyphos,46.03496,10.94437,2556.0,sisyphos
red point wall,45.94094,10.88945,2548.0,red-point-wall
noriglio,45.88729,11.05981,176.0,noriglio
l'orto,45.92819,10.88466,2536.0,l-orto
valgua,45.77655405257794,9.78164844596865,,valgua
nomesino,45.8675,10.95175,2647.0,nomesino
cavedine,46.00054,10.96179,2576.0,cavedine
piccola dallas,45.93135,10.89565,2552.0,piccola-dallas
castel madruzzo,46.0343,10.98591,5953.0,castel-madruzzo
muro dell'asino,45.92816,10.88466,2535.0,muro-dell-asino
camerette,46.01871,10.94087,2553.0,camerette
coltura,46.05936,10.80879,2583.0,coltura
le piazzole,45.92744,10.86262,2538.0,le-piazzole
grottosauro,45.94227,10.91529,2545.0,grottosauro
ranzo,46.06477,10.92867,2573.0,ranzo
ottava meraviglia,45.95085,10.90131,2532.0,ottava-meraviglia
la panoramica,46.03941,10.94566,2559.0,la-panoramica
promeghin,46.07117,10.90636,2577.0,promeghin
terlago,46.09848,11.04545,2593.0,terlago
corte,44.00069,7.77266,,corte
tassilandia,45.88397,10.91647,5955.0,tassilandia
la pizzeria,45.96802,10.91427,2546.0,la-pizzeria
mandrea,45.94559,10.88157,2540.0,mandrea
passo san giovanni,45.87379,10.90648,2624.0,passo-san-giovanni
giardino di nato,46.01871,10.94088,2555.0,giardino-di-nato
serrada,45.88808,11.15389,2599.0,serrada
san paolo,45.93995,10.89633,2626.0,san-paolo
fattoria degli struzzi,45.95084,10.90131,2533.0,fattoria-degli-struzzi
volta di no,45.92682,10.84833,2619.0,volta-di-no
breguzzo,46.02024,10.70678,2585.0,breguzzo
calisio,46.09844,11.13656,2590.0,calisio-909cf-verrev
la finestra,46.07088,10.98331,2570.0,la-finestra
ghess wall,46.04761,10.95103,2633.0,ghess-wall
climax,46.07088,10.98331,2568.0,climax
ceniga,45.94712,10.89707,2629.0,ceniga
monte terlago,46.11407,11.03922,2655.0,monte-terlago-b7f4c-verrev
giardino delle occasioni perdute,46.07087,10.9833,2569.0,giardino-delle-occasioni-perdute
massi di gaggiolo,45.99016,10.92585,2630.0,massi-di-gaggiolo
finale ampola,45.8615,10.6416,5942.0,finale-ampola
babilonia,46.04745,10.95122,2560.0,babilonia
sunny place,46.05453,10.85662,2581.0,sunny-place
besagno,45.83738,10.96702,2645.0,besagno
piste dei dinosauri,45.85333,11.03499,2644.0,piste-dei-dinosauri-ef460-verrev
limarock,46.06004,10.92433,2562.0,limarock
il bersaglio,46.05957,10.94111,2635.0,il-bersaglio
sarche,46.03947,10.94565,2558.0,sarche
margone,46.06489,10.95784,2571.0,margone
croz de le niere,46.04592,10.75106,2584.0,croz-de-le-niere
pizarra,45.95054,10.90132,5951.0,pizarra
bus de la stria,45.92399,10.87134,2537.0,bus-de-la-stria
forti di civezzano,46.08348,11.17501,2589.0,forti-di-civezzano-4c77d-verrev
cartoon network,46.09062,11.16383,2665.0,cartoon-network-bc689-verrev
spiaggia delle lucertole,45.84803,10.86357,2542.0,spiaggia-delle-lucertole
la cosina,46.00103,10.96888,2631.0,la-cosina
massi delle traole,45.86504,10.89545,2623.0,massi-delle-traole
santa massenza,46.06564,10.98031,2567.0,santa-massenza
futur ampola,45.85864,10.63774,5941.0,futur-ampola
corno di bò,45.84803,10.86357,2621.0,corno-di-bo
tione,46.03232,10.72261,2641.0,tione
herr wall – la calchera,46.0675,10.94688,2637.0,herr-wall-–-la-calchera
arcadioland,46.05852,10.96687,2565.0,arcadioland
swing area,45.94229,10.89962,2530.0,swing-area
eremo di san paolo,45.94232,10.89966,2531.0,eremo-di-san-paolo
col del frate,46.04516,10.74732,2640.0,col-del-frate-e5649-verrev
marmitte dei giganti,45.87996,10.88492,5950.0,marmitte-dei-giganti
athos,46.03491,10.94438,2557.0,athos
spormaggiore,46.20907,11.04225,2591.0,spormaggiore
pezzent area,46.05851,10.96685,2566.0,pezzent-area
coel dela val dela porta,46.06489,10.95784,2572.0,coel-dela-val-dela-porta
torbolino,45.8447,10.86373,2620.0,torbolino
torbole,45.85642,10.87038,2622.0,torbole
spina,46.07115,11.18572,2670.0,spina-bf9aa-verrev
la campana,45.87836,11.04503,2643.0,la-campana-faaf1-verrev
lagolo,46.03322,11.00161,2574.0,lagolo-a9a5c-verrev
al prà,46.20133,11.25241,2594.0,al-pra
san martino,45.92653,10.89823,2628.0,san-martino-b14c3-verrev
schizzolandia,46.08455,11.09846,2659.0,schizzolandia-e1c68-verrev
lon,46.08482,10.98518,2639.0,lon
castello di drena,45.97091,10.9414,2547.0,castello-di-drena
cola grant,45.93588,11.11345,2642.0,cola-grant-663e8-verrev
il cadaverificio,46.07301,11.16206,2667.0,il-cadaverificio-9581e-verrev
sanderland,45.93561,10.81216,2541.0,sanderland
l'orrido,45.92175,11.12924,2600.0,l-orrido
lago nembia,46.09953,10.93519,2580.0,lago-nembia
eremo di san colombano,45.87821,11.06266,2595.0,eremo-di-san-colombano-43efc-verrev
sport roccia 86,45.927,10.89221,2625.0,sport-roccia-86-10742-verrev
teatro delle marionette,46.08482,10.98521,2638.0,teatro-delle-marionette
maso limarò,46.05988,10.92441,5954.0,maso-limaro
drago nascosto,46.09848,11.13656,2663.0,drago-nascosto
acheni,45.83971,11.07648,2596.0,acheni-1c78f-verrev
muro di chitarra,46.0187,10.94093,2632.0,muro-di-chitarra
muro dei 70 scalini,46.07751,11.16874,2666.0,muro-dei-70-scalini-366a5-verrev
nembia,46.0932,10.92762,2579.0,nembia
vigol,46.0808,11.04379,2649.0,vigol
zengio del far noter,45.87891,11.11166,2598.0,zengio-del-far-noter-85bcf-verrev
il vaticano,46.05957,10.94111,2634.0,il-vaticano
baselga,46.07647,11.04135,2648.0,baselga
zambana,46.13811,11.07474,2660.0,zambana-7a2f8-verrev
